date,hour,resource_name,resource_type,energy_mw,lmp_dam,lmp_rtm,spread,pnl
2026-07-16,11,OTTAWA_OFFER:HUB,GEN,0.0,90.69,111.81083333333332,-21.120833333333323,-0.0
2026-07-16,17,OTTAWA_OFFER:HUB,GEN,0.0,100.42,91.78416666666668,8.635833333333323,0.0
2026-07-17,1,OTTAWA_BID:HUB,LD,-1.0,41.27,42.25416666666667,-0.9841666666666669,0.9841666666666669
2026-07-17,5,OTTAWA_BID:HUB,LD,-1.0,33.61,43.8825,-10.2725,10.2725
2026-07-17,13,OTTAWA_BID:HUB,LD,0.0,71.16,87.68166666666667,-16.521666666666675,-0.0
2026-07-17,14,OTTAWA_BID:HUB,LD,-1.0,70.14,105.16416666666667,-35.02416666666667,35.02416666666667
2026-07-18,14,OTTAWA_BID:HUB,LD,0.0,62.36,57.80083333333334,4.559166666666663,0.0
2026-07-18,17,OTTAWA_BID:HUB,LD,-1.0,62.07,47.7875,14.282499999999999,-14.282499999999999
2026-07-18,20,OTTAWA_BID:HUB,LD,-1.0,51.76,36.59,15.169999999999995,-15.169999999999995
2026-07-19,13,OTTAWA_BID:HUB,LD,-1.0,40.69,42.0975,-1.4074999999999989,1.4074999999999989
2026-07-19,14,OTTAWA_BID:HUB,LD,-1.0,40.61,40.8875,-0.2775000000000034,0.2775000000000034
2026-07-19,17,OTTAWA_BID:HUB,LD,-1.0,55.77,66.665,-10.895000000000003,10.895000000000003
2026-07-20,17,OTTAWA_BID:HUB,LD,-1.0,69.94,174.56833333333336,-104.62833333333336,104.62833333333336
2026-07-20,18,OTTAWA_BID:HUB,LD,-1.0,73.62,64.5425,9.0775,-9.0775
2026-07-21,8,OTTAWA_BID:HUB,LD,-1.0,35.93,51.19416666666667,-15.264166666666668,15.264166666666668
2026-07-21,9,OTTAWA_BID:HUB,LD,-1.0,38.99,38.3825,0.6075000000000017,-0.6075000000000017
2026-07-21,14,OTTAWA_BID:HUB,LD,-1.0,56.69,38.39333333333334,18.29666666666666,-18.29666666666666
2026-07-21,21,OTTAWA_BID:HUB,LD,-1.0,50.13,68.98916666666666,-18.85916666666666,18.85916666666666
